code,name,1901-07,1902-07,1903-07,1904-07,1905-07,1906-07,1907-07,1908-07,1909-07,1910-07,1911-07,1912-07,1913-07,1914-07,1915-07,1916-07,1917-07,1918-07,1919-07,1920-07,1921-07,1922-07,1923-07,1924-07,1925-07,1926-07,1927-07,1928-07,1929-07,1930-07,1931-07,1932-07,1933-07,1934-07,1935-07,1936-07,1937-07,1938-07,1939-07,1940-07,1941-07,1942-07,1943-07,1944-07,1945-07,1946-07,1947-07,1948-07,1949-07,1950-07,1951-07,1952-07,1953-07,1954-07,1955-07,1956-07,1957-07,1958-07,1959-07,1960-07,1961-07,1962-07,1963-07,1964-07,1965-07,1966-07,1967-07,1968-07,1969-07,1970-07,1971-07,1972-07,1973-07,1974-07,1975-07,1976-07,1977-07,1978-07,1979-07,1980-07,1981-07,1982-07,1983-07,1984-07,1985-07,1986-07,1987-07,1988-07,1989-07,1990-07,1991-07,1992-07,1993-07,1994-07,1995-07,1996-07,1997-07,1998-07,1999-07,2000-07,2001-07,2002-07,2003-07,2004-07,2005-07,2006-07,2007-07,2008-07,2009-07,2010-07,2011-07,2012-07,2013-07,2014-07,2015-07,2016-07,2017-07,2018-07,2019-07,2020-07,2021-07,2022-07
SOM.2262690,Bari,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.14,106.4,106.14,106.14,106.14,106.45,106.14,106.14,106.19,106.19,106.15,106.23,108.2,105.59,107.38,109.03,106.88,102.38,103.71,104.01,108.52,104.9,106.27,104.05,104.68,105.1,104.66,105.62,102.65,103.97,106.25,102.48,105.22,102.51,103.22,104.78,107.97,103.64,105.62,103.52,104.18,104.95,107.2,104.27,107.2,108.18,107.18,106.99,107.95,104.48,105.68,106.64,108.58,104.34,103.78,107.58,101.37,103.42,109.15,102.58,104.95,110.11,102.89,107.04,104.14,105.7,105.55,106.79,110.22,106.81,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2
SOM.2262691,Bay,510.58,568.8,426.27,433.94,528.46,578.08,556.21,467.34,438.79,472.0,349.52,562.13,656.68,265.25,185.49,231.95,340.3,415.29,434.15,613.83,356.34,528.86,902.15,410.78,505.54,570.11,430.4,477.67,416.2,481.99,331.32,378.39,383.21,445.48,411.12,459.64,544.76,418.76,226.4,434.31,453.61,383.08,188.2,403.84,329.41,261.41,378.23,313.72,277.72,324.85,876.22,343.62,415.93,376.51,232.29,351.81,489.77,359.39,305.49,642.05,760.27,423.96,593.77,505.88,563.89,475.61,772.08,792.27,451.48,369.8,338.36,703.11,293.58,316.71,304.49,449.02,758.35,493.03,465.0,359.96,714.15,589.18,300.21,376.4,379.23,400.52,453.43,461.18,580.03,521.22,389.04,346.3,429.19,492.0,462.79,328.13,589.36,416.84,387.91,495.88,349.5,493.64,495.39,498.28,498.04,498.07,557.22,471.36,390.9,399.95,550.19,420.35,498.83,421.22,582.22,524.58,713.82,527.08,730.55,420.65,567.81,677.08
SOM.2262692,Banadir,515.89,520.82,505.25,506.84,514.71,519.49,518.82,509.44,506.68,530.93,306.21,438.91,675.92,209.58,66.76,188.07,273.72,503.91,441.24,739.42,339.19,560.89,887.74,472.65,505.2,595.12,442.2,527.35,501.76,424.49,319.95,423.95,402.49,439.14,405.01,549.7,479.9,401.45,218.47,429.72,479.47,390.85,260.08,456.93,235.17,254.62,404.53,317.92,292.4,379.12,965.01,328.32,443.83,358.7,198.3,357.26,583.1,438.04,339.84,522.82,1004.43,398.21,638.54,550.87,591.51,401.31,835.79,780.08,490.06,349.07,291.37,716.45,344.06,299.73,370.74,522.21,797.69,399.33,582.42,466.9,701.69,608.96,378.58,355.74,386.09,307.71,502.72,473.1,546.61,472.4,424.73,411.27,466.13,518.81,445.88,439.07,569.07,477.65,430.32,512.96,510.04,511.13,512.96,513.04,513.04,513.04,512.87,511.87,510.29,509.96,516.2,510.88,513.54,511.37,514.54,515.45,515.87,512.54,521.53,508.96,513.12,516.45
SOM.2262693,Galgaduud,241.59,241.59,241.59,241.59,241.59,241.59,241.59,241.59,241.59,244.18,217.1,240.67,271.38,205.59,194.16,196.71,213.77,241.59,235.27,265.66,223.65,254.71,293.97,227.38,227.13,189.61,194.83,212.3,220.99,215.14,206.14,204.28,235.24,197.3,251.57,262.01,260.31,133.24,145.62,208.1,293.87,221.74,181.39,152.8,112.95,161.52,173.66,189.91,113.04,174.93,290.74,130.52,152.91,112.37,102.49,183.45,288.53,152.31,178.63,186.41,317.8,217.69,317.21,197.02,291.68,217.96,378.41,358.39,230.61,223.84,222.64,306.12,255.46,136.61,134.68,258.41,258.3,209.76,225.45,111.89,267.22,355.25,159.85,173.79,173.29,174.08,284.54,206.08,358.44,260.38,176.07,141.87,156.47,261.35,188.12,187.72,289.14,233.69,187.87,241.59,241.57,241.59,241.59,241.59,241.59,241.59,241.6,241.59,241.58,241.58,241.59,241.58,241.59,241.58,241.6,241.59,241.62,241.6,241.61,241.59,241.61,241.61
SOM.2262694,Gedo,393.69,427.13,330.44,330.81,420.29,432.67,421.97,356.48,339.3,356.66,342.12,418.62,417.01,322.24,283.48,353.62,354.88,283.25,302.19,363.34,325.16,282.07,572.41,343.53,435.28,426.99,303.95,346.36,311.66,396.86,253.0,279.1,290.07,309.44,319.52,334.06,434.42,270.8,214.59,349.36,392.24,254.59,119.68,320.73,241.58,189.44,265.13,302.04,216.6,218.07,656.65,281.1,325.8,300.45,194.11,271.41,451.37,270.86,253.56,478.47,530.21,328.78,462.8,380.38,369.81,364.41,549.48,596.36,327.43,269.02,304.96,478.32,192.66,247.51,241.52,316.86,555.4,429.54,370.09,215.09,551.57,454.26,205.04,276.12,302.83,385.33,346.86,339.01,486.88,444.39,290.49,317.66,341.93,368.43,403.22,241.44,580.35,281.37,273.65,328.97,246.63,410.28,370.88,378.66,362.22,356.13,446.58,337.69,271.62,271.45,454.9,306.42,402.1,291.81,438.87,425.26,661.97,424.0,612.61,323.55,460.75,633.37
SOM.2262695,Hiraan,352.3,352.3,352.3,352.3,352.3,352.3,352.3,352.3,352.3,363.56,245.97,368.92,497.43,189.92,139.42,147.82,227.12,352.3,326.89,461.17,276.11,404.27,629.31,283.29,354.11,313.13,250.51,344.19,291.61,314.67,279.37,264.35,266.97,294.32,320.2,334.22,395.02,237.45,184.51,309.14,336.7,332.22,187.64,212.75,129.5,173.32,248.2,225.7,165.13,267.36,583.79,256.9,230.88,233.52,130.4,265.27,379.02,246.96,214.83,385.3,547.33,315.22,457.66,334.54,413.82,297.91,632.03,573.24,314.4,331.21,271.05,488.64,270.87,201.8,172.2,331.92,532.95,347.58,299.31,198.97,461.83,434.49,245.46,221.85,264.93,229.54,396.98,281.37,446.01,356.89,224.76,147.13,187.37,391.48,243.85,226.1,457.59,319.54,242.18,352.14,330.69,353.21,352.08,352.3,352.3,352.3,361.96,350.61,339.65,340.66,357.85,342.65,350.4,343.31,363.94,350.39,378.67,357.25,377.24,345.35,363.68,371.98
SOM.2262696,Juba Hoose,487.02,593.03,184.3,295.58,510.37,697.85,614.11,382.56,276.3,358.98,270.3,351.52,434.3,333.12,381.13,349.48,366.32,202.97,302.76,330.9,223.7,343.31,461.97,361.19,355.74,508.11,617.26,269.37,404.8,341.15,295.5,381.16,377.94,346.19,355.58,468.16,422.02,397.59,206.13,404.23,425.76,299.38,186.42,401.13,346.43,288.99,365.56,248.61,233.61,192.47,546.51,262.63,405.46,269.27,318.68,264.81,401.79,248.47,383.38,457.36,565.07,310.7,484.68,472.67,407.47,412.91,640.24,633.61,335.27,298.97,380.97,447.96,252.41,299.82,410.59,231.29,410.42,432.01,492.92,312.22,500.54,460.9,369.03,406.37,338.51,512.02,386.56,468.68,415.88,346.08,326.17,398.0,448.18,535.0,415.43,349.02,649.5,475.33,440.76,291.92,361.51,430.83,406.47,410.29,367.15,487.94,396.21,341.26,448.89,376.92,423.38,388.24,360.81,361.79,416.47,329.03,529.11,520.79,453.73,304.12,490.91,501.08
SOM.2262697,Shabelle Hoose,510.52,580.48,376.86,397.38,506.84,614.22,571.85,441.97,394.9,451.17,313.89,496.57,604.8,236.64,155.18,234.39,312.82,356.65,396.08,600.65,311.11,518.47,797.31,424.16,466.52,579.69,517.24,474.99,439.04,424.82,314.77,402.64,418.37,447.1,389.85,492.07,487.62,454.95,224.0,432.78,440.09,361.96,219.41,413.59,329.72,288.87,422.72,285.23,264.02,323.39,832.45,328.7,438.06,354.99,240.79,344.2,480.14,385.76,340.75,566.53,809.28,391.85,571.87,549.65,555.43,434.38,757.01,710.22,439.1,343.46,302.04,644.62,309.79,327.71,357.61,420.4,675.28,405.74,513.74,459.04,685.73,544.52,334.81,405.07,368.99,368.07,433.84,493.02,528.62,453.56,418.16,403.17,455.59,483.26,448.82,413.27,520.48,450.89,426.14,484.49,457.33,468.35,484.47,484.93,484.91,484.97,485.93,475.62,458.99,459.11,502.56,466.55,484.85,468.2,498.23,497.73,519.76,481.04,545.62,453.92,487.41,520.38
SOM.2262698,Juba Dhexe,456.39,611.24,200.77,244.19,500.65,656.83,579.98,331.87,242.93,333.6,291.43,464.43,489.05,275.2,265.94,312.81,349.14,195.79,293.91,355.14,249.52,358.1,578.73,351.13,410.89,510.53,561.38,336.59,359.16,360.68,272.42,334.52,379.78,349.26,327.82,395.27,414.48,419.39,189.15,367.0,406.34,312.7,145.1,389.48,331.92,264.65,355.93,255.71,207.22,234.79,582.91,300.39,394.82,284.24,240.68,286.33,374.68,273.54,304.73,497.39,611.69,332.21,483.26,472.66,459.52,397.53,617.2,592.13,359.54,265.65,289.58,533.16,233.45,303.98,353.54,283.76,492.03,393.27,406.62,352.81,584.31,438.61,286.32,392.14,312.8,470.51,353.43,452.66,463.12,376.25,346.54,386.13,434.37,410.87,485.06,351.23,541.07,366.41,407.27,383.86,364.48,408.0,415.14,413.17,398.58,424.16,418.32,387.9,385.1,362.01,440.95,376.46,402.04,379.25,431.88,420.25,518.76,428.94,510.71,355.54,450.16,491.2
SOM.2262699,Shabelle Dhexe,452.86,453.08,452.39,452.46,452.81,453.02,452.99,452.58,452.46,470.16,258.96,401.69,656.38,185.24,76.16,134.36,230.75,452.34,403.33,676.46,311.47,504.99,803.47,378.6,421.23,442.86,332.37,440.79,401.11,383.99,337.7,372.2,352.35,353.46,371.25,454.42,446.16,338.05,215.92,394.41,415.31,395.21,248.43,349.07,172.37,206.52,344.54,287.91,248.61,326.78,835.53,320.56,346.85,307.94,183.2,332.62,510.28,366.22,284.7,479.08,803.63,372.96,557.24,463.21,513.02,365.61,749.32,705.1,427.59,348.17,282.39,622.3,308.05,284.19,284.93,446.48,721.83,408.27,446.95,330.42,624.68,543.52,352.93,286.65,338.83,264.45,468.94,375.09,492.33,442.21,353.31,309.52,347.38,471.0,366.24,359.02,548.17,415.13,366.49,452.68,450.15,452.44,452.68,452.74,452.74,452.74,453.65,452.38,451.0,450.89,454.31,451.28,452.85,451.55,454.14,453.38,455.7,453.13,457.3,451.15,453.84,455.33
