code,name,1901-07,1902-07,1903-07,1904-07,1905-07,1906-07,1907-07,1908-07,1909-07,1910-07,1911-07,1912-07,1913-07,1914-07,1915-07,1916-07,1917-07,1918-07,1919-07,1920-07,1921-07,1922-07,1923-07,1924-07,1925-07,1926-07,1927-07,1928-07,1929-07,1930-07,1931-07,1932-07,1933-07,1934-07,1935-07,1936-07,1937-07,1938-07,1939-07,1940-07,1941-07,1942-07,1943-07,1944-07,1945-07,1946-07,1947-07,1948-07,1949-07,1950-07,1951-07,1952-07,1953-07,1954-07,1955-07,1956-07,1957-07,1958-07,1959-07,1960-07,1961-07,1962-07,1963-07,1964-07,1965-07,1966-07,1967-07,1968-07,1969-07,1970-07,1971-07,1972-07,1973-07,1974-07,1975-07,1976-07,1977-07,1978-07,1979-07,1980-07,1981-07,1982-07,1983-07,1984-07,1985-07,1986-07,1987-07,1988-07,1989-07,1990-07,1991-07,1992-07,1993-07,1994-07,1995-07,1996-07,1997-07,1998-07,1999-07,2000-07,2001-07,2002-07,2003-07,2004-07,2005-07,2006-07,2007-07,2008-07,2009-07,2010-07,2011-07,2012-07,2013-07,2014-07,2015-07,2016-07,2017-07,2018-07,2019-07,2020-07,2021-07,2022-07
ABW,Aruba (Neth.),420.9,420.9,420.9,420.9,420.9,420.9,420.9,420.9,420.9,420.9,569.7,487.0,413.3,393.8,379.9,442.3,447.7,434.3,253.3,324.1,363.1,503.1,367.7,574.0,275.7,446.4,624.1,486.3,342.8,305.5,498.5,475.7,535.4,439.2,483.3,455.9,558.6,544.8,430.1,288.4,218.8,620.7,443.2,479.4,305.1,378.8,314.1,310.7,438.5,574.5,393.0,375.0,306.4,380.3,535.6,599.5,303.8,219.2,274.4,376.5,403.5,342.2,477.0,328.2,373.9,667.6,350.0,316.5,617.1,612.2,298.7,455.9,446.4,384.6,513.5,261.4,217.7,300.6,563.8,311.6,648.3,334.8,272.9,413.0,641.3,354.2,391.5,591.2,362.1,463.2,310.4,383.6,290.6,367.6,383.9,501.8,254.3,426.2,707.5,484.3,346.3,266.8,392.9,641.0,658.1,503.1,414.0,624.2,333.3,697.9,672.1,348.8,324.7,282.4,281.3,440.5,375.6,467.2,218.3,394.2,420.9,420.9
ABW.14465,Administrative unit not available,420.9,420.9,420.9,420.9,420.9,420.9,420.9,420.9,420.9,420.9,569.7,487.0,413.3,393.8,379.9,442.3,447.7,434.3,253.3,324.1,363.1,503.1,367.7,574.0,275.7,446.4,624.1,486.3,342.8,305.5,498.5,475.7,535.4,439.2,483.3,455.9,558.6,544.8,430.1,288.4,218.8,620.7,443.2,479.4,305.1,378.8,314.1,310.7,438.5,574.5,393.0,375.0,306.4,380.3,535.6,599.5,303.8,219.2,274.4,376.5,403.5,342.2,477.0,328.2,373.9,667.6,350.0,316.5,617.1,612.2,298.7,455.9,446.4,384.6,513.5,261.4,217.7,300.6,563.8,311.6,648.3,334.8,272.9,413.0,641.3,354.2,391.5,591.2,362.1,463.2,310.4,383.6,290.6,367.6,383.9,501.8,254.3,426.2,707.5,484.3,346.3,266.8,392.9,641.0,658.1,503.1,414.0,624.2,333.3,697.9,672.1,348.8,324.7,282.4,281.3,440.5,375.6,467.2,218.3,394.2,420.9,420.9
AFG,Afghanistan,289.47,269.52,331.24,315.44,285.08,305.07,314.64,332.39,301.69,316.54,313.86,310.61,296.7,359.87,280.75,292.12,197.39,307.69,324.45,313.27,304.19,315.64,338.87,381.57,258.16,321.93,264.52,286.71,289.21,307.44,384.61,303.77,339.41,343.3,328.16,303.71,318.4,319.99,355.68,297.49,319.31,359.04,351.52,314.38,345.5,252.13,268.75,301.61,297.98,295.34,330.08,325.97,383.73,343.05,295.33,363.12,444.03,326.76,368.64,363.94,346.08,277.48,351.4,335.73,377.75,295.31,380.35,356.97,372.51,242.5,201.95,415.73,285.09,313.5,336.99,375.21,310.87,306.67,351.74,357.3,365.28,428.99,319.17,276.35,248.02,329.29,316.8,334.72,324.98,361.37,429.81,403.7,330.39,337.56,313.18,330.63,333.27,372.38,315.99,240.08,232.52,312.04,343.67,312.45,373.57,348.85,321.1,290.16,390.29,296.91,321.96,374.57,367.37,303.32,406.96,373.35,297.65,272.3,394.8,398.2,217.52,301.25
AFG.11,Badakhshan,541.01,609.39,699.26,610.89,610.15,591.3,562.91,704.89,544.76,676.39,530.27,584.95,560.25,651.76,429.31,351.11,237.33,600.26,625.41,687.2,734.91,661.65,692.24,710.29,519.29,560.45,610.86,662.93,572.74,664.23,835.6,593.96,654.75,708.63,701.97,505.93,572.96,615.87,548.72,561.84,616.28,713.62,693.16,595.85,660.35,493.39,452.82,749.09,713.66,580.74,672.48,721.86,994.1,723.81,640.16,682.4,851.82,779.59,691.72,700.95,527.56,609.86,639.61,711.64,836.16,794.38,808.82,750.24,933.4,535.27,405.07,779.74,683.51,650.86,670.39,655.37,769.55,622.57,689.07,724.62,810.36,593.71,550.13,746.82,615.72,741.21,886.63,675.96,631.23,614.3,817.17,685.84,734.55,681.16,602.14,722.55,579.75,856.73,795.69,583.24,514.53,649.5,823.47,679.72,782.66,791.91,570.34,637.69,813.8,712.17,648.26,714.87,731.86,591.01,834.57,786.29,644.39,536.1,738.25,746.88,422.16,629.18
AFG.110,Ghor,360.12,366.76,385.48,355.77,257.41,344.78,333.03,358.07,366.66,363.84,371.14,333.06,392.05,416.16,338.75,412.99,234.43,329.82,378.4,379.07,388.05,390.97,399.14,425.2,254.99,374.13,293.7,316.65,335.77,313.21,455.2,341.49,373.1,420.92,308.68,349.48,364.39,353.04,440.28,319.32,382.79,387.12,382.29,305.22,438.56,288.88,308.4,304.32,391.78,322.51,380.33,396.36,426.71,355.75,356.87,404.67,467.83,361.9,396.5,385.49,460.11,330.03,415.55,361.51,352.82,333.92,416.93,427.85,436.08,256.9,257.95,493.82,286.16,386.85,417.69,475.86,334.85,351.02,374.65,411.46,408.25,542.09,372.49,302.55,269.52,338.32,327.6,398.64,368.32,432.56,460.55,492.56,430.29,356.95,373.9,375.45,374.97,385.49,332.7,307.38,344.4,388.11,383.86,375.76,384.04,377.45,375.53,340.5,382.61,366.17,358.08,406.88,378.24,383.25,395.21,424.34,361.02,366.92,401.71,404.08,357.07,380.14
AFG.111,Hilmand,131.24,115.26,130.77,123.23,151.71,144.02,122.81,137.21,155.39,121.71,146.81,136.81,134.51,139.6,124.36,139.63,127.75,132.39,131.34,125.92,110.81,126.06,132.11,166.0,110.17,148.92,128.64,123.78,123.11,130.04,148.45,126.72,146.3,125.5,153.97,139.84,148.44,148.38,172.54,140.55,122.65,170.79,151.18,170.51,127.04,109.9,140.56,114.36,95.88,145.98,147.41,133.08,105.86,147.55,120.89,138.84,188.93,122.84,144.06,122.1,142.18,90.08,123.32,132.95,111.09,97.84,125.58,121.2,87.4,121.31,62.47,167.53,67.95,137.44,145.22,190.05,107.53,93.52,141.43,148.66,150.23,262.27,141.37,90.08,88.2,127.55,96.02,131.19,109.95,187.0,183.37,169.8,115.54,152.79,139.81,152.69,133.08,127.54,125.12,77.06,75.36,92.91,109.15,103.46,160.15,95.64,114.19,109.35,130.62,79.59,144.2,107.54,132.42,91.94,115.25,117.84,96.2,82.18,173.27,149.1,70.95,88.69
AFG.112,Hirat,213.25,275.12,280.41,284.84,144.88,235.04,207.18,234.21,241.02,276.82,255.93,193.09,278.95,274.69,231.41,319.71,112.2,238.34,253.93,279.66,260.57,309.15,311.21,335.57,121.93,266.54,179.51,211.44,223.69,218.19,351.79,248.41,239.61,257.71,166.25,214.63,231.38,240.44,353.64,183.36,268.67,254.81,305.86,210.79,302.17,223.72,221.21,191.53,275.87,208.62,243.11,287.61,346.74,281.24,237.28,314.66,364.47,221.92,303.55,254.23,298.62,190.16,249.28,275.74,223.79,207.61,294.0,339.1,285.16,185.23,198.22,374.34,186.67,390.56,283.93,397.8,238.59,270.34,318.89,322.81,289.6,437.45,234.94,206.43,191.58,269.27,197.88,308.16,239.87,290.78,348.99,374.82,312.2,272.59,272.4,268.27,256.48,295.78,248.15,169.15,189.27,264.73,276.12,284.18,286.0,231.72,273.41,178.41,302.66,219.72,215.83,290.95,219.52,227.19,293.14,253.62,267.6,228.13,316.14,306.5,174.33,225.64
AFG.113,Jawzjan,116.43,187.45,209.17,181.82,119.62,196.18,248.56,213.23,165.15,173.16,199.17,226.8,217.78,242.54,162.45,176.46,72.31,230.51,200.34,209.21,203.6,213.93,280.04,288.01,143.26,216.03,160.29,152.41,201.89,179.35,273.06,193.92,259.35,248.14,196.64,175.66,216.28,237.71,262.18,224.18,293.77,237.92,248.74,138.16,261.88,155.95,176.58,192.04,237.73,180.63,206.07,253.06,287.43,217.22,174.62,242.38,257.59,237.98,222.12,256.98,204.25,202.76,239.46,229.33,179.74,171.35,228.54,234.48,353.61,174.95,131.44,272.61,242.21,174.4,191.29,232.11,189.14,242.42,216.0,235.34,241.4,248.57,194.51,214.86,197.08,172.16,223.28,247.4,208.93,247.33,281.35,250.62,281.82,214.73,185.86,173.84,254.67,277.93,215.52,196.19,200.0,284.57,268.54,246.94,222.89,238.11,264.33,192.34,328.64,180.09,181.95,287.25,220.6,265.44,291.4,250.97,199.77,180.54,308.88,268.7,161.14,259.88
AFG.114,Kabul,479.87,247.38,454.3,502.82,491.52,430.32,487.6,547.42,400.57,508.48,522.54,445.99,327.56,596.92,494.4,402.6,303.01,418.68,501.76,414.3,355.13,381.46,419.69,552.09,429.26,461.43,319.28,462.88,411.04,475.61,497.12,452.59,451.94,485.25,507.66,514.87,459.31,414.94,482.64,434.75,401.86,468.16,480.69,458.67,451.37,374.78,372.05,434.32,374.92,441.79,489.36,438.12,529.88,536.32,377.61,572.53,694.19,474.52,600.44,615.34,561.86,415.47,586.63,522.97,763.84,470.25,637.49,528.44,506.3,316.05,320.47,645.19,486.11,398.0,486.49,473.1,454.24,459.62,534.79,523.43,520.18,487.38,474.15,398.15,326.67,543.02,453.91,475.36,506.24,511.63,634.2,618.79,376.22,539.74,501.17,490.62,511.01,544.94,434.26,334.75,308.75,437.46,514.33,446.86,581.1,601.28,487.34,477.09,616.17,476.64,495.17,605.69,673.76,453.88,736.53,628.55,443.57,405.96,589.24,684.8,277.62,417.58
AFG.115,Kandahar,204.61,133.18,196.83,168.74,305.99,250.39,182.19,239.04,308.27,159.94,263.44,244.06,208.17,239.26,188.61,233.62,208.47,215.01,207.03,173.33,118.42,173.56,200.44,346.71,133.03,277.59,208.61,174.6,174.76,217.88,252.79,192.4,277.62,181.87,313.36,239.49,282.42,283.06,358.26,248.69,167.65,363.87,286.4,436.05,201.43,125.94,242.35,192.44,116.03,247.62,221.34,169.39,135.18,241.96,183.75,222.1,318.4,176.91,230.97,181.93,224.03,118.76,142.89,162.39,170.61,132.23,186.92,145.66,86.57,174.25,65.3,228.3,102.4,149.75,193.38,270.36,146.05,139.69,229.82,193.04,219.06,438.57,253.13,99.1,147.83,181.44,163.66,177.84,201.5,330.25,293.81,297.66,160.62,173.52,175.57,207.62,179.29,203.5,143.92,75.51,95.12,138.5,165.43,142.09,239.83,142.95,187.94,187.91,231.47,95.07,255.66,160.39,191.01,101.21,154.47,148.86,122.6,91.81,280.76,241.49,60.31,124.48
AFG.116,Kapisa,637.44,384.58,655.11,681.73,656.75,590.13,664.31,715.56,541.03,686.77,669.18,632.78,485.48,782.97,628.65,516.65,388.6,585.3,698.62,565.33,502.66,521.93,581.03,753.47,585.25,644.06,456.44,609.71,551.01,658.09,730.12,618.17,659.4,706.24,703.63,661.88,628.19,595.38,638.12,591.11,571.92,652.01,678.49,614.45,644.6,500.71,487.49,611.89,549.65,609.27,696.52,633.38,807.86,722.54,536.46,764.11,938.82,664.43,793.15,833.81,743.62,581.56,819.22,723.16,1046.38,625.01,866.24,749.23,739.84,424.03,437.28,870.33,663.21,555.14,684.86,653.38,680.46,633.9,744.17,716.17,733.83,635.57,623.04,570.97,469.0,732.61,675.1,660.04,676.03,687.89,874.46,814.24,573.47,754.97,661.07,684.0,676.92,795.24,663.14,514.02,428.51,607.13,732.36,624.71,782.8,826.38,646.74,654.84,870.36,669.78,680.43,847.55,925.26,598.24,1001.97,869.24,620.49,567.12,772.96,886.11,394.02,568.8
AFG.117,Khost,546.63,206.18,421.56,482.74,512.95,412.49,461.95,569.69,428.82,634.75,493.08,411.5,309.93,789.84,515.43,572.31,426.74,381.28,522.53,351.77,317.13,447.8,465.14,618.83,527.34,479.44,265.37,432.34,567.92,515.39,449.09,504.6,450.81,387.64,549.11,538.27,433.61,351.33,450.1,420.69,333.94,528.82,468.44,614.84,403.57,331.67,372.17,481.56,331.65,474.74,426.61,364.3,462.46,563.85,503.48,742.8,734.42,479.44,716.66,622.13,586.73,461.43,568.22,502.31,800.13,522.69,698.41,471.33,408.82,431.22,420.7,640.89,515.52,425.78,520.79,545.3,467.47,480.05,604.0,594.32,534.16,598.79,607.07,441.99,325.22,602.03,436.94,483.52,688.14,587.94,641.4,698.88,370.02,595.24,605.92,517.15,591.59,518.68,364.11,343.58,412.13,456.8,534.55,490.03,659.87,643.01,589.68,649.56,604.68,636.59,563.46,625.01,706.67,577.48,850.92,672.57,475.17,439.12,689.87,727.89,350.77,593.26
AFG.118,Kunar,731.92,393.59,778.17,754.18,783.79,608.89,631.65,855.75,594.02,846.88,690.15,727.64,538.27,929.46,642.48,584.88,483.15,587.79,803.89,663.96,683.35,701.36,790.37,873.72,658.05,700.59,468.23,694.89,690.07,746.72,835.23,689.75,728.89,746.77,820.04,756.33,643.84,672.82,689.92,653.91,561.99,728.48,716.72,767.38,656.87,549.22,529.37,779.38,672.05,750.46,734.5,719.45,911.97,896.16,695.93,1004.86,1133.2,796.75,1000.6,944.28,828.75,696.21,938.99,842.07,1296.6,848.43,1057.74,836.69,738.72,624.68,578.89,1014.81,796.29,692.19,759.66,765.71,787.6,766.94,923.98,1002.81,890.57,703.63,782.22,766.01,599.92,1007.93,828.28,826.2,869.31,835.93,925.85,950.63,632.98,965.42,840.0,916.79,776.84,930.17,773.75,644.17,570.96,696.47,989.36,774.79,942.59,1023.85,778.62,905.47,991.52,962.85,860.25,941.8,1089.32,718.78,1302.25,981.12,767.06,647.98,891.72,990.65,492.05,690.74
AFG.119,Kunduz,194.65,270.9,328.91,283.24,221.8,301.22,317.31,310.12,238.49,293.83,260.89,322.39,279.91,315.13,222.66,215.09,104.39,324.49,325.74,330.82,312.86,310.51,344.64,328.04,266.53,299.07,236.23,230.48,272.66,279.89,377.52,281.14,377.72,405.58,326.22,256.12,317.43,353.58,325.66,288.67,375.88,382.17,354.97,230.88,398.52,212.51,240.17,297.46,276.27,228.61,340.36,324.99,446.65,304.78,268.03,322.87,379.76,315.27,295.48,383.55,306.98,305.27,338.49,337.95,295.48,281.24,342.09,364.95,511.29,213.3,188.09,373.81,343.81,235.81,341.11,365.43,314.45,329.77,314.28,282.52,346.76,338.46,295.94,309.34,260.02,278.74,352.07,330.85,332.75,316.35,431.19,332.34,379.7,317.28,249.39,295.93,345.73,444.34,371.71,272.11,205.93,335.91,343.58,301.99,340.15,353.53,310.53,271.41,427.56,287.08,290.62,398.83,355.34,323.03,397.49,367.0,279.95,265.1,407.03,409.0,223.34,339.47
AFG.12,Badghis,293.33,363.76,374.67,348.58,199.91,308.72,342.2,336.59,336.08,346.85,343.53,308.4,408.07,413.1,311.03,404.12,136.6,339.29,316.55,344.37,348.09,401.75,449.84,462.33,169.07,372.65,245.37,265.71,300.59,296.57,480.19,327.96,370.12,364.17,255.1,298.87,319.51,340.77,457.7,284.29,407.13,348.46,427.26,257.47,448.34,265.42,251.07,264.99,401.6,290.65,333.41,411.12,497.99,381.98,316.23,452.95,448.45,338.52,433.64,348.64,404.5,313.79,389.49,377.68,322.02,292.09,406.41,446.69,474.23,260.63,272.16,506.68,331.81,481.82,372.09,521.87,316.57,385.5,416.85,449.62,413.54,573.8,305.87,288.85,276.31,303.73,303.69,390.3,327.61,391.93,465.43,494.36,443.22,321.0,322.73,282.53,346.59,405.92,304.92,236.96,309.64,414.88,432.32,408.32,382.03,354.56,401.88,269.32,428.49,324.57,333.44,399.49,311.76,335.31,415.2,357.68,357.32,324.47,448.69,426.96,252.14,328.09
AFG.120,Laghman,578.04,275.84,563.34,591.8,601.9,486.52,543.06,640.79,450.34,634.51,576.51,543.31,387.54,729.42,552.35,463.93,346.03,475.7,603.9,474.68,417.67,475.23,527.52,678.98,518.32,562.76,344.02,535.8,497.53,583.29,620.87,539.39,557.3,583.52,618.0,580.91,513.25,489.24,543.95,503.55,443.94,548.17,577.08,560.28,511.35,426.93,403.36,539.43,475.79,548.12,586.23,531.35,683.0,664.0,485.79,716.29,839.35,578.73,718.55,730.42,647.39,509.24,710.93,642.66,943.32,592.05,783.77,627.41,594.48,415.37,418.82,763.63,580.8,496.72,579.54,569.97,589.13,557.65,660.3,679.27,648.64,532.84,562.47,524.31,413.38,678.23,595.67,597.07,640.73,608.65,739.52,743.16,472.62,692.4,615.15,619.28,607.94,683.28,549.39,447.65,399.09,519.76,657.62,551.34,697.97,725.75,593.76,634.22,751.8,643.38,625.88,730.83,829.82,538.5,916.52,752.54,549.53,486.6,679.09,798.91,346.0,505.29
AFG.121,Logar,462.9,201.76,393.43,450.15,468.9,386.27,434.22,508.01,364.26,466.13,493.37,381.41,282.05,562.04,462.1,375.18,283.55,356.84,458.22,369.74,328.34,346.75,378.21,500.86,395.68,398.15,274.17,441.73,373.46,418.44,429.02,412.65,371.46,400.33,466.66,500.14,410.85,345.44,439.65,391.67,332.52,419.69,419.15,435.82,379.91,339.04,344.34,397.07,309.64,407.54,410.63,352.86,422.43,505.57,355.16,528.15,661.58,430.0,592.07,550.16,509.19,369.85,536.89,443.7,705.82,427.22,614.43,458.6,393.66,300.41,282.45,600.77,410.01,365.18,404.27,417.65,378.87,398.33,510.33,495.63,457.62,507.83,455.4,330.3,290.26,509.54,382.8,408.98,463.06,461.88,566.12,595.46,300.91,463.75,465.85,431.8,472.12,440.77,337.55,265.07,283.07,395.4,434.29,406.88,541.19,557.04,453.96,434.28,537.08,412.6,444.94,529.86,607.57,437.2,665.29,558.79,401.73,364.81,565.71,654.51,238.01,392.22
AFG.122,Nangarhar,543.7,206.09,480.59,520.3,541.55,409.45,456.88,585.55,402.32,590.26,513.04,448.2,315.89,713.54,499.03,466.29,362.2,396.61,528.41,394.69,358.03,432.31,480.43,619.05,487.41,493.06,273.13,465.31,486.23,515.29,514.93,468.01,463.79,470.42,546.1,527.08,429.67,391.33,468.23,433.66,354.21,478.29,498.62,539.78,422.61,356.72,369.89,496.38,378.7,502.83,489.99,418.84,537.57,597.5,458.96,699.01,775.33,495.52,697.04,638.23,602.23,468.36,632.66,535.74,838.57,532.78,718.98,529.76,435.99,398.92,392.14,685.88,515.78,438.98,505.07,514.91,486.24,510.48,621.04,631.91,567.26,531.13,559.1,467.1,361.94,649.89,495.6,520.92,618.7,566.41,650.8,700.08,390.15,622.91,586.66,552.41,578.98,566.28,423.08,373.21,384.55,453.43,579.95,495.51,622.81,647.37,548.24,610.3,632.44,611.12,565.46,636.64,723.85,529.4,839.45,649.1,478.4,426.65,631.15,736.28,330.05,495.89
AFG.123,Nimroz,64.13,63.5,64.0,63.56,63.65,64.21,63.06,64.18,64.67,63.84,64.51,63.46,64.32,64.44,62.95,65.15,62.81,63.54,64.0,63.9,63.45,63.93,64.05,65.53,62.27,64.52,63.34,63.58,63.8,63.29,65.53,63.88,64.29,63.52,63.98,63.76,64.04,64.72,66.08,63.94,66.82,89.46,64.87,64.68,57.17,62.92,69.68,45.21,40.66,66.33,76.42,82.28,52.5,83.91,67.2,70.83,123.42,67.7,82.72,62.32,70.95,39.56,64.73,88.46,49.32,41.71,60.57,71.15,49.69,79.82,32.88,83.11,34.74,94.07,81.9,85.55,58.89,43.67,68.63,77.58,71.32,120.44,53.47,57.32,46.78,65.63,34.73,61.53,37.94,92.02,111.47,74.39,56.9,98.88,71.65,96.15,69.71,62.09,73.45,33.19,18.44,29.61,43.99,51.12,83.33,39.93,49.53,52.6,63.86,21.73,61.8,43.59,65.34,48.48,64.18,44.87,45.84,29.65,82.87,89.58,25.44,36.79
AFG.124,Nuristan,815.79,510.84,863.78,803.08,851.93,689.66,721.08,901.34,656.5,889.83,759.28,798.4,631.4,973.88,691.82,603.83,471.02,685.39,885.67,736.86,756.86,746.17,832.74,953.16,716.8,766.08,572.21,761.98,702.99,824.82,977.41,761.92,815.36,875.44,907.75,804.66,733.81,761.43,753.09,729.32,666.49,814.36,817.63,795.28,762.08,618.71,563.33,843.83,777.38,792.28,831.72,827.82,1068.34,958.02,737.74,1006.46,1213.78,909.84,1050.75,1032.99,855.91,742.98,1022.3,920.27,1396.77,902.31,1145.77,932.09,905.68,643.71,577.79,1107.0,851.14,765.14,840.85,810.64,915.2,797.66,978.2,1048.71,977.66,756.58,790.48,826.05,673.35,1052.21,934.42,869.67,898.35,878.22,1051.32,997.17,751.31,1002.61,868.29,967.16,803.77,1044.77,917.03,710.66,598.09,768.29,1056.84,845.03,1040.39,1120.02,795.64,919.01,1127.48,968.49,915.82,1038.48,1177.88,730.36,1338.43,1101.47,821.36,710.75,961.43,1052.2,490.12,719.62
AFG.125,Paktika,330.61,232.66,301.13,325.18,338.12,304.92,317.18,355.67,309.48,351.61,342.36,303.12,268.12,385.1,329.78,335.6,285.01,287.39,342.26,294.81,284.8,295.62,307.91,349.15,308.59,311.37,260.59,319.5,327.93,321.12,302.23,343.95,310.69,287.24,357.57,353.99,319.13,287.3,332.25,304.56,262.16,345.63,305.67,377.25,287.36,277.34,269.27,303.57,209.78,318.43,287.2,216.11,268.57,340.3,296.69,421.32,493.2,293.65,446.14,377.48,355.65,272.32,331.79,288.63,451.48,299.27,430.31,301.94,236.04,251.15,193.27,382.99,282.62,256.21,323.86,341.23,290.81,273.73,389.85,363.85,351.63,497.07,410.34,214.54,212.88,351.37,257.58,306.16,405.94,366.36,390.04,458.13,225.98,320.65,336.27,292.68,374.33,284.92,223.61,165.74,219.01,276.06,307.66,283.02,422.7,386.5,367.67,336.25,365.62,325.46,354.92,397.93,416.33,323.61,482.29,405.65,292.01,254.1,449.8,470.51,185.93,367.54
AFG.126,Paktya,525.59,201.4,414.22,480.09,521.96,414.47,458.97,559.94,402.62,549.72,529.14,401.65,297.53,677.3,508.96,461.45,342.97,372.42,509.23,381.6,346.56,397.89,425.31,561.47,459.43,434.79,275.49,474.67,455.46,462.9,445.25,468.23,397.4,395.69,523.94,555.64,436.14,351.24,467.23,420.86,333.18,476.45,447.02,533.06,387.54,355.71,373.39,450.99,319.06,453.9,420.37,356.21,433.13,560.32,431.1,635.51,739.77,472.61,684.93,595.6,551.58,416.51,571.06,470.34,770.18,477.34,689.35,482.09,392.44,365.69,337.04,652.22,453.0,407.59,454.97,481.29,420.94,434.65,583.55,567.2,507.42,591.0,537.5,374.92,313.59,568.97,422.72,452.52,583.85,529.98,620.91,673.55,324.96,519.12,536.89,477.13,542.15,469.2,344.57,289.75,342.87,439.3,475.02,456.07,613.8,619.94,529.48,530.23,580.06,500.13,504.1,579.48,673.38,516.78,759.15,620.82,452.14,409.25,651.83,721.66,282.0,491.93
AFG.127,Panjsher,845.79,595.2,902.42,883.8,854.07,788.31,872.06,907.0,723.28,885.3,840.8,852.22,704.23,994.42,775.04,655.22,504.04,795.22,940.39,765.01,733.3,712.83,791.85,984.28,773.91,846.9,654.68,792.03,723.52,863.59,1031.8,815.68,903.26,976.11,954.1,848.72,830.12,818.45,826.44,784.77,778.33,888.17,916.68,808.15,883.59,660.77,627.69,840.49,769.15,804.51,940.03,878.58,1151.74,947.37,755.31,982.28,1247.48,908.71,1029.01,1095.16,940.8,787.39,1093.23,955.36,1344.97,814.99,1145.85,1011.88,1021.77,571.75,551.34,1150.66,855.57,748.28,917.98,861.43,969.25,832.83,1017.14,949.34,980.28,868.42,807.51,781.8,662.6,974.0,965.21,873.83,889.36,889.05,1179.35,1050.19,833.69,990.64,849.69,907.51,886.67,1081.14,931.43,720.14,576.4,824.64,984.99,846.7,1031.46,1110.96,824.11,845.35,1170.51,877.89,886.71,1123.07,1193.71,783.27,1296.07,1143.42,822.08,761.35,1014.37,1124.08,530.47,764.78
AFG.128,Parwan,576.97,422.37,619.64,649.48,565.98,570.18,654.12,644.53,536.51,594.98,624.59,604.7,491.19,681.98,580.66,492.43,391.92,584.28,636.79,555.36,513.05,502.99,548.85,678.85,556.08,591.6,487.52,549.84,514.71,597.79,677.79,569.57,622.7,669.49,635.57,620.61,616.05,579.21,609.35,567.25,593.71,626.59,634.71,548.14,648.87,490.21,485.87,557.9,515.65,541.84,655.9,596.05,716.41,619.8,492.79,672.58,848.24,634.06,711.89,797.01,724.53,550.44,763.22,654.72,904.09,548.69,749.74,716.83,791.22,358.67,359.22,804.03,621.45,486.72,647.5,596.01,618.37,611.46,654.99,592.82,629.02,632.76,563.4,503.93,427.05,638.48,610.87,597.85,611.72,635.98,854.1,727.25,562.48,668.6,586.16,621.09,668.89,747.08,613.91,462.79,389.84,576.56,648.46,573.28,705.49,757.77,589.48,537.33,790.84,574.82,599.38,808.8,825.54,576.32,896.58,825.35,563.51,548.67,720.96,811.42,384.71,533.01
AFG.129,Samangan,260.88,307.07,415.96,383.47,228.43,362.44,511.72,360.71,314.56,313.14,320.22,434.76,331.8,440.78,298.45,285.88,136.73,431.37,389.16,390.88,384.97,384.5,439.45,443.09,344.07,377.33,296.38,267.69,320.44,351.41,472.66,353.57,459.93,501.59,392.34,326.92,413.88,407.21,410.94,372.04,486.15,465.28,447.96,267.04,517.96,257.36,298.56,371.6,373.48,312.1,420.68,423.49,550.38,355.43,335.63,406.63,497.08,403.42,396.98,541.26,424.96,382.11,494.34,439.82,404.15,319.57,421.69,457.43,634.61,246.54,220.14,482.46,394.54,280.9,390.98,409.53,365.21,420.05,388.2,355.54,392.71,403.0,346.64,347.52,297.2,340.81,430.53,415.0,407.66,406.33,571.71,441.26,476.67,383.93,316.99,358.55,479.41,532.7,419.18,317.07,258.92,414.28,407.94,361.51,427.92,448.12,392.09,318.09,529.69,347.82,351.85,570.61,483.73,434.64,528.12,507.85,339.23,357.62,499.85,507.4,280.43,408.59
AFG.13,Baghlan,465.65,417.05,586.95,573.83,472.66,524.76,595.49,560.09,468.5,529.45,520.84,571.84,468.54,604.55,478.31,409.97,295.01,569.46,581.75,532.79,504.01,494.67,539.26,600.02,510.39,547.27,448.44,470.23,467.64,543.52,655.12,516.23,619.42,673.78,582.53,516.94,566.71,569.2,559.04,517.79,594.03,611.46,610.72,468.37,646.66,417.95,427.86,543.92,493.55,479.29,616.34,580.14,746.91,565.22,491.64,618.57,754.4,585.34,587.07,713.55,607.8,510.47,672.49,610.91,728.66,499.75,671.77,674.09,780.51,359.48,347.19,732.42,582.31,460.45,601.86,592.64,580.83,560.83,589.12,553.57,619.22,584.39,501.57,499.19,413.48,541.93,601.68,569.59,578.06,564.33,791.11,634.44,580.82,592.66,513.5,560.59,603.18,714.25,610.45,464.75,372.53,548.72,601.29,526.49,628.06,670.26,527.96,480.36,738.68,527.28,538.43,722.79,711.06,533.07,770.09,710.83,519.73,501.53,659.32,714.46,383.35,515.77
